,title,overall_review,pros,cons,since,date,rating
80,ye,"
Overall Review:
            i got it at one hell of a deal and its doing what i need it to so far, its small so i of course had to get an hhd aswell to keep from running out of space but im hoping it will be running for years to come
        ","
Pros:
                •fast and reliable•the magician software that came with it has been helpful
            ","
Cons:
                •doesnt come with a usb cable for data transfer
            ",Ownership: 1 month to 1 year,2/24/2018 1:22:22 AM,4
81,Good hardware,"
Overall Review:
            The hardware is great, just don't trust the cloning software.  Plan on a fresh system install and all should be well.
        ","
Pros:
                Fast, quiet.
            ","
Cons:
                Like others have said, the cloning software doesn't work.  You also need an adaptor cable to plug the drive into a USB port in order to attempt cloning which doesn't come with the drive nor do they tell you ahead of time.  $15 and a week delay.
            ",Ownership: 1 month to 1 year,2/23/2018 1:54:14 PM,4
82,"Great product, but unstable",,"
Pros:
                Very fast startup and read times
            ","
Cons:
                After 1&1/2 years, it crashed on me.  It shows in BIOS, but when I go to reinstall the OS the drive size shows as NaN or 0MB.
            ",Ownership: more than 1 year,2/22/2018 12:56:13 PM,2
83,Xbox one speed improvement,,"
Pros:
                Speeded up my Xbox one with loading of games
            ","
Cons:
                na
            ",Ownership: 1 week to 1 month,2/22/2018 7:10:09 AM,5
84,"balzeing fast, boot awesome, no issues.","
Overall Review:
            made my laptop faster like it was a super gig machine.  LOVE IT!
        ","
Pros:
                easy install, software download a breeze. system boots up before i have a chance to sip my coffee!
            ","
Cons:
                should have bought a bigger drive
            ",Ownership: 1 month to 1 year,2/19/2018 12:35:18 PM,5
85,Gets faster the more you use it!,"
Overall Review:
            I'd recommend this if you can find it for sub $140. Get the newer 3d-nand one other wise.
        ","
Pros:
                Looks great!Very fast, and it actually gets faster! Windows 10 took ~15 seconds to boot after a fresh install. After a week of use, that number is down to ~7.
            ","
Cons:
                Beware that after partitioning and installing Windows, you'll only have around 460GB to work with.
            ",Ownership: 1 month to 1 year,2/18/2018 1:04:02 PM,5
86,Great drive!,"
Overall Review:
            I haven't tried any of the other SSDs, because these have a great reputation, and haven't let me down yet.
        ","
Pros:
                Extremely simple set-up, comes with a cable that makes it absurdly easy to clone your C drive onto this to make this your boot drive, hardy and running well. I have one of these in each of 3 desktops and 1 laptop for 2+ years and none dead yet. My company also installed them as boot drives in each of our dozen or so other work PCs 3 years ago, with no issues.
            ","
Cons:
                Cloning instructions are a little confusing, says that any info not cloned will be wiped from the source drive, which is wrong (so I wasted time backing up ~ 500 gigs of data to another drive that was over what I wanted on the boot drive), and it does not come with a drive tray, so can be a pain in the rear to strap into place in the case, or you have to leave it loose.
            ",Ownership: more than 1 year,2/18/2018 9:25:27 AM,5
87,Hard drive failure,"
Overall Review:
            Should have longer lifespan, but every hard drive in this laptop has only survived 2 years.
        ","
Pros:
                Lasted 2 yrs in my MacBook Pro 13"" and was fast.  Good drive while it lasted.
            ","
Cons:
                Drive failure after 2 years - don't know how many cycles or any technical data.
            ",Ownership: more than 1 year,2/17/2018 3:31:42 PM,4
88,"Decent SSD for balanced speed, size, durability and price",,"
Pros:
                Got this to replace previous sshd on my ps4, since it took about frustrating 1 min to load my save of Horizon Zero Dawn. Now on this it took less than 30 seconds in loading. It also performs much better and faster on updating system and any other contexts needed read and write on disk.
            ","
Cons:
                None
            ",Ownership: 1 month to 1 year,2/16/2018 2:11:49 PM,5
89,Awful! Broke within 2 months!,"
Overall Review:
            I would never recommend this product to another customer, quality is awful. It just goes to show how quantitative companies are around the holidays. Thankfully I had bought a protection plan so I could get my money back. Do not buy this product!
        ","
Pros:
                - Quick boot times.
            ","
Cons:
                - Very bad quality.- Hard to setup when first building pc.
            ",Ownership: 1 month to 1 year,2/16/2018 9:25:37 AM,1
90,Great product,,"
Pros:
                Very fast ans very sturdy.  This is my third unit form Samsung and I just love them.  That being said I also have Kingston and never ha issues with either.
            ","
Cons:
                None
            ",Ownership: 1 week to 1 month,2/16/2018 6:43:09 AM,5
91,"Great SSD, looks great","
Overall Review:
            If you are looking to make improvements to your PC and don't have a SSD yet, I would highly recommend one because they are just soo much faster than a . By putting your OS on one of these bad boys you can start up your PC in just a few seconds. As a recommendation, if you only plan to keep the OS on the SSD you wont need 500GB to do that.
        ","
Pros:
                - Price- Very Fast (Make sure your load your OS on here)- Looks very nice in case
            ","
Cons:
                -None
            ",Ownership: 1 month to 1 year,2/13/2018 6:47:59 AM,5
92,,,"
Pros:
                Easy Installation! Fast!
            ","
Cons:
                None Really, maybe Price but thats to be expected with good ssd's!
            ",Ownership: 1 day to 1 week,2/10/2018 7:24:17 PM,5
93,"Great Product, easy to setup and super fast.","
Overall Review:
            I highly recommend this. Money wise, this is the best upgrade you can make on your computer if you do a bit of everything on it. Personally I do everything, from social media sites to watching movies to video games. Mostly video games. If you hate loading times as much as me, get this. If you hate low FPS and like good graphics, get a GPU first, then this. Also, keep in mind SSD's are very sturdy and highly unlikely to break down or be defective. Unlike many Graphics cards which have a much higher chance of having problems later down the road or being defective. A bit off topic here, but I highly recommend the Nividia Geforce GTX 960. It runs cool, it is sturdy, and it is well worth the money. Will play anything you throw at it on ultra if you have the processor to keep it from bottlenecking.
        ","
Pros:
                It will download on my old stock mobo at 400 mb's per second. I went from waiting sometimes 2 minutes for stuff to load all the way to waiting at most 12 seconds. After I installed my new Graphics card, the longest I wait now is 7 seconds. It takes 10 seconds to restart my computer, 5 seconds to boot it, 3 seconds to load GTA 5 (About 12 seconds before I installed my Nivida, GeForce GTX 960) and 4 seconds to load Fallout 4 on medium graphics settings, and 7 seconds on max settings. That should give you a general idea of how fast this bad boy is. Keep in mind, load times are affected mainly by SSD however GPU. CPU, and RAM also play a role in this. So times are subject to change depending on system hardware.EDIT: Over 1 year later and this bad boy is still working like new, only a few bad sectors (Dont freak out this is normal.) but at the rate its going, it should last around 20 years for me. Literally. SSDs last nearly as long as RAM if not longer.
            ","
Cons:
                None so far.
            ",Ownership: more than 1 year,2/10/2018 3:42:38 PM,5
